
Language : Scope Source
=======================

Actionscript: source.actionscript, source.actionscript.2
Active4D: source.active4d
Active4D_Html: text.html.strict.active4d
Active4D_Ini: text.active4d-ini
Active4D_Library: source.active4d.library
Ada: source.ada
Antlr: source.antlr
Apache: source.apache-config
Applescript: source.applescript
Asp: source.asp
Asp_Vb.Net: source.asp.vb.net
Bibtex: text.bibtex
Blog_Html: text.blog.html
Blog_Markdown: text.blog.markdown
Blog_Text: text.blog
Blog_Textile: text.blog.textile
Build: source.nant-build
Bulletin_Board: text.bbcode
C++: source.c++
C: source.c
Cake: source.php.cake
Camlp4: source.camlp4.ocaml
Cm: source.cm
Coldfusion: text.html.cfm
Context_Free: source.context-free
Cs: source.c-sharp
Css: source.css
Css_Experimental: source.css.beta
Csv: text.tabular.csv
D: source.d
Diff: source.diff
Dokuwiki: text.html.dokuwiki
Dot: source.dot
Doxygen: text.html.doxygen
Dylan: source.dylan
Eiffel: source.eiffel
Erlang: source.erlang
F-Script: source.fscript
Fortran: source.fortran
Fxscript: source.fxscript
Greasemonkey: source.js.greasemonkey
Gri: source.gri
Groovy: source.groovy.groovy
Gtd: text.plain.gtd
Gtdalt: text.gtdalt
Haml: text.haml
Haskell: source.haskell
Html-Asp: text.html.asp
Html: text.html.basic
Html_Django: text.html.django
Html_For_Asp.Net: text.html.asp.net
Html_Mason: text.html.mason
Html_Rails: text.html.ruby
Html_Tcl: text.html.tcl
Icalendar: source.icalendar
Inform: source.inform
Ini: source.ini
Installer_Distribution_Script: text.xml.apple-dist
Io: source.io
Java: source.java
Javaproperties: source.java-props
Javascript: source.js
Javascript_+_Prototype: source.js.prototype
Javascript_+_Prototype_Bracketed: source.js.prototype.bracketed
Jquery_Javascript: source.js.jquery
Json: source.json
Languagedefinition: source.plist.tm-grammar
Latex: text.tex.latex
Latex_Beamer: text.tex.latex.beamer
Latex_Log: text.log.latex
Latex_Memoir: text.tex.latex.memoir
Less: source.less, source.css.less
Lexflex: source.lex
Lighttpd: source.lighttpd-config
Lilypond: source.lilypond
Lisp: source.lisp
Literate_Haskell: text.tex.latex.haskell
Logo: source.logo
Logtalk: source.logtalk
Lua: source.lua
Matlab: source.matlab
Macports_Portfile: source.tcl.macports
Mail: text.mail.markdown
Makefile: source.makefile
Man: text.man
Markdown: text.html.markdown
Mediawiki: text.html.mediawiki
Mel: source.mel
Mips: source.mips
Mod_Perl: source.apache-config.mod_perl
Modula-3: source.modula-3
Moinmoin: text.moinmoin
Mootools: source.js.mootools
Movable_Type: text.html.mt
Multimarkdown: text.html.markdown.multimarkdown
Nemerle: source.nemerle
Objective-C++: source.objc++
Objective-C: source.objc
Ocaml: source.ocaml
Ocamllex: source.ocamllex
Ocamlyacc: source.ocamlyacc
Opengl: source.open-gl
Pascal: source.pascal
Perl: source.perl
Php: source.php
Plain_Text: text.plain
Pmwiki: text.pmwiki
Postscript: source.postscript
Processing: source.processing
Prolog: source.prolog
Python: source.python
Python_Django: source.python.django
Qmake_Project: source.qmake
Qt_C++: source.c++.qt
Quake3_Config: source.quake-config
R: source.r
R_Console: source.r-console
Ragel: source.c.ragel
Rd_R_Documentation: text.tex.latex.rd
Regexp: source.regexp
Regular_Expressions_Oniguruma: source.regexp.oniguruma
Regular_Expressions_Python: source.regexp.python
Release_Notes: text.plain.release-notes
Remind: source.remind
Restructuredtext: text.restructuredtext
Rez: source.rez
Ruby: source.ruby
Ruby_Experimental: source.ruby.experimental
Ruby_On_Rails: source.ruby.rails
S5: source.s5
Scheme: source.scheme
Scilab: source.scilab
Setext: text.setext
Shell-Unix-Generic: source.shell
Slate: source.slate
Smarty: source.smarty
Sql: source.sql
Sql_Rails: source.sql.ruby
Ssh-Config: source.ssh-config
Standard_Ml: source.ml
Strings_File: source.strings
Subversion_Commit_Message: text.subversion-commit
Sweave: text.tex.latex.sweave
Swig: source.swig
Tcl: source.tcl
Template_Toolkit: text.html.tt
Tex: text.tex
Tex_Math: text.tex.math
Textile: text.html.textile
Tsv: text.tabular.tsv
Twig: text.html.twig
Twiki: text.html.twiki
Txt2Tags: text.txt2tags, source.t2t
Vectorscript: source.pascal.vectorscript
Xhtml_1.0: text.html.xhtml.1-strict
Xml: text.xml
Xml_Strict: text.xml.strict
Xsl: text.xml.xsl
Yaml: source.yaml
Yui_Javascript: source.js.yui
